#   Navg =  3.000E+00
# Lambda =  1.404E+00
#      A =  0.000E+00
#     ar =  1.621E+01
#     br =  1.088E+01
#     rb =  3.333E-07
#    rb1 =  3.333E-07
# r_core =  5.527E+00
#     nb = 0
# Mean configuration:
#  1 -1	 2.000E+00
#  2 -1	 3.333E-01
#  2  1	 3.333E-01
#  2 -2	 3.333E-01


   48 2.72545163E-05 -9.00861E+04 -9.00833E+04  2.77877E-01  8.40987E-05  1.51908E-07
   49 2.98667477E-05 -8.73443E+04 -8.73415E+04  2.77882E-01  9.21592E-05  1.73589E-07
   50 3.27287950E-05 -8.40523E+04 -8.40495E+04  2.77888E-01  1.00991E-04  2.00644E-07
   51 3.58644674E-05 -8.01000E+04 -8.00972E+04  2.77894E-01  1.10666E-04  2.41429E-07
   52 3.92998314E-05 -7.53552E+04 -7.53524E+04  2.77901E-01  1.21267E-04  2.79519E-07
   53 4.30634229E-05 -6.96592E+04 -6.96563E+04  2.77908E-01  1.32880E-04  3.22222E-07
   54 4.71864795E-05 -6.35775E+04 -6.35747E+04  2.77916E-01  1.45602E-04  3.95423E-07
   55 5.17031935E-05 -5.80235E+04 -5.80207E+04  2.77925E-01  1.59539E-04  4.78998E-07
   56 5.66509894E-05 -5.29558E+04 -5.29530E+04  2.77935E-01  1.74807E-04  5.61179E-07
   57 6.20708257E-05 -4.83319E+04 -4.83291E+04  2.77945E-01  1.91531E-04  6.73166E-07
   58 6.80075259E-05 -4.41128E+04 -4.41100E+04  2.77957E-01  2.09849E-04  8.07064E-07
   59 7.45101389E-05 -4.02630E+04 -4.02602E+04  2.77970E-01  2.29914E-04  9.67964E-07
   60 8.16323330E-05 -3.67501E+04 -3.67473E+04  2.77984E-01  2.51891E-04  1.16129E-06
   61 8.94328256E-05 -3.35447E+04 -3.35419E+04  2.77999E-01  2.75961E-04  1.39346E-06
   62 9.79758529E-05 -3.06198E+04 -3.06170E+04  2.78016E-01  3.02322E-04  1.67219E-06
   63 1.07331681E-04 -2.79507E+04 -2.79479E+04  2.78034E-01  3.31191E-04  2.00671E-06
   64 1.17577166E-04 -2.55152E+04 -2.55124E+04  2.78055E-01  3.62805E-04  2.40811E-06
   65 1.28796360E-04 -2.32926E+04 -2.32898E+04  2.78077E-01  3.97424E-04  2.88966E-06
   66 1.41081180E-04 -2.12644E+04 -2.12615E+04  2.78101E-01  4.35331E-04  3.46730E-06
   67 1.54532126E-04 -1.94134E+04 -1.94106E+04  2.78127E-01  4.76836E-04  4.16007E-06
   68 1.69259076E-04 -1.77243E+04 -1.77215E+04  2.78156E-01  5.22279E-04  4.99082E-06
   69 1.85382141E-04 -1.61828E+04 -1.61800E+04  2.78188E-01  5.72029E-04  5.98690E-06
   70 2.03032604E-04 -1.47760E+04 -1.47731E+04  2.78222E-01  6.26493E-04  7.18104E-06
   71 2.22353938E-04 -1.34920E+04 -1.34892E+04  2.78260E-01  6.86112E-04  8.61245E-06
   72 2.43502918E-04 -1.23202E+04 -1.23174E+04  2.78302E-01  7.51371E-04  1.03280E-05
   73 2.66650825E-04 -1.12507E+04 -1.12479E+04  2.78347E-01  8.22798E-04  1.23839E-05
   74 2.91984765E-04 -1.02745E+04 -1.02717E+04  2.78397E-01  9.00970E-04  1.48472E-05
   75 3.19709092E-04 -9.38353E+03 -9.38072E+03  2.78451E-01  9.86519E-04  1.77982E-05
   76 3.50046967E-04 -8.57028E+03 -8.56747E+03  2.78511E-01  1.08013E-03  2.13329E-05
   77 3.83242039E-04 -7.82795E+03 -7.82514E+03  2.78576E-01  1.18256E-03  2.55662E-05
   78 4.19560285E-04 -7.15034E+03 -7.14754E+03  2.78647E-01  1.29463E-03  3.06351E-05
   79 4.59291992E-04 -6.53179E+03 -6.52899E+03  2.78725E-01  1.41723E-03  3.67035E-05
   80 5.02753926E-04 -5.96713E+03 -5.96433E+03  2.78810E-01  1.55133E-03  4.39671E-05
   81 5.50291666E-04 -5.45165E+03 -5.44885E+03  2.78903E-01  1.69802E-03  5.26597E-05
   82 6.02282149E-04 -4.98105E+03 -4.97825E+03  2.79004E-01  1.85845E-03  6.30600E-05
   83 6.59136421E-04 -4.55141E+03 -4.54860E+03  2.79115E-01  2.03388E-03  7.55008E-05
   84 7.21302618E-04 -4.15914E+03 -4.15634E+03  2.79236E-01  2.22570E-03  9.03791E-05
   85 7.89269193E-04 -3.80098E+03 -3.79818E+03  2.79369E-01  2.43542E-03  1.08168E-04
   86 8.63568405E-04 -3.47396E+03 -3.47115E+03  2.79513E-01  2.66468E-03  1.29432E-04
   87 9.44780097E-04 -3.17534E+03 -3.17254E+03  2.79671E-01  2.91527E-03  1.54842E-04
   88 1.03353577E-03 -2.90266E+03 -2.89985E+03  2.79843E-01  3.18914E-03  1.85198E-04
   89 1.13052299E-03 -2.65364E+03 -2.65083E+03  2.80031E-01  3.48841E-03  2.21452E-04
   90 1.23649015E-03 -2.42622E+03 -2.42342E+03  2.80236E-01  3.81538E-03  2.64737E-04
   91 1.35225156E-03 -2.21852E+03 -2.21572E+03  2.80460E-01  4.17258E-03  3.16399E-04
   92 1.47869301E-03 -2.02882E+03 -2.02601E+03  2.80703E-01  4.56272E-03  3.78036E-04
